epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2036.14,2.35757,1.24246,0.86944,0.78539,0.40594,0.52821,0.2048,1.89989,1.43575,0.71977,0.0007922,0.0007922,0.0007922
63,2060.71,2.35323,1.23656,0.85481,0.76503,0.54806,0.60444,0.20577,1.85139,1.14896,0.72431,0.0007724,0.0007724,0.0007724
64,2091.46,2.20701,1.20616,0.83577,0.70113,0.50495,0.57314,0.22507,2.02871,1.26897,0.72223,0.0007526,0.0007526,0.0007526
65,2139.22,2.32593,1.2261,0.83258,0.82425,0.46435,0.56217,0.2008,2.24314,1.34808,0.72175,0.0007328,0.0007328,0.0007328
66,2168.69,2.30969,1.17548,0.83694,0.72301,0.52475,0.56225,0.19123,2.09426,1.33416,0.7188,0.000713,0.000713,0.000713
67,2199.78,2.20196,1.09519,0.84147,0.76886,0.53465,0.56685,0.20508,2.10453,1.2832,0.71984,0.0006932,0.0006932,0.0006932
68,2233.02,2.22253,1.09588,0.83165,0.8045,0.48897,0.62819,0.21002,2.21172,1.40547,0.72377,0.0006734,0.0006734,0.0006734
69,2258.46,2.27244,1.09407,0.85455,0.75417,0.47525,0.53481,0.18304,2.15882,1.33255,0.71661,0.0006536,0.0006536,0.0006536
70,2286.53,2.24509,1.10299,0.84208,0.73111,0.46535,0.52166,0.18885,2.09669,1.1455,0.71612,0.0006338,0.0006338,0.0006338
71,2311.19,2.14347,1.08698,0.84033,0.73774,0.47349,0.55434,0.21286,1.85081,1.15353,0.71427,0.000614,0.000614,0.000614
72,2335.87,2.23106,1.10955,0.84703,0.70209,0.48515,0.52579,0.18289,2.04683,1.22281,0.71598,0.0005942,0.0005942,0.0005942
73,2369.61,2.22018,1.0858,0.85707,0.76734,0.52249,0.57121,0.22058,2.0551,1.11659,0.71931,0.0005744,0.0005744,0.0005744
74,2404.69,2.17684,1.07573,0.83045,0.7455,0.54455,0.58798,0.19901,1.9613,1.08381,0.71393,0.0005546,0.0005546,0.0005546
75,2434.76,2.10495,1.09218,0.84014,0.75924,0.56204,0.59762,0.22867,1.90341,1.04508,0.71105,0.0005348,0.0005348,0.0005348
76,2471.36,2.15612,1.09089,0.84571,0.77572,0.51367,0.59933,0.22293,1.95574,1.14389,0.71335,0.000515,0.000515,0.000515
77,2507.48,2.33352,1.16542,0.85687,0.60873,0.44672,0.43278,0.16792,2.0154,1.1867,0.72059,0.0004952,0.0004952,0.0004952
78,2532.5,2.17342,1.10489,0.85428,0.73663,0.52619,0.57763,0.20696,2.10941,1.14985,0.71686,0.0004754,0.0004754,0.0004754
79,2562.1,2.19174,1.08569,0.85369,0.80215,0.48174,0.61239,0.23843,2.2162,1.26957,0.72509,0.0004556,0.0004556,0.0004556
80,2593.95,2.12989,1.02034,0.83415,0.7741,0.54288,0.62606,0.23496,2.18974,1.19518,0.7295,0.0004358,0.0004358,0.0004358
81,2619.05,2.20802,1.12607,0.83877,0.75737,0.54455,0.56341,0.20342,2.05077,1.15287,0.73133,0.000416,0.000416,0.000416
82,2643.98,2.1914,1.1484,0.82538,0.783,0.50019,0.54479,0.2039,2.00615,1.23317,0.71392,0.0003962,0.0003962,0.0003962
83,2674.77,2.20369,1.14951,0.84616,0.81988,0.47525,0.60253,0.22276,2.1373,1.16425,0.71712,0.0003764,0.0003764,0.0003764
84,2709.75,2.06098,0.94195,0.85086,0.79514,0.49962,0.5874,0.21595,2.24269,1.10202,0.72644,0.0003566,0.0003566,0.0003566
85,2740.7,2.13278,0.996,0.84066,0.77332,0.57422,0.62762,0.23072,2.10748,0.99431,0.71928,0.0003368,0.0003368,0.0003368
86,2775.51,2.13421,0.99193,0.83261,0.71756,0.48515,0.58671,0.23496,2.11899,1.12282,0.72288,0.000317,0.000317,0.000317
87,2800.26,2.12588,0.98288,0.85663,0.69616,0.49911,0.59058,0.2123,2.22961,1.06727,0.72738,0.0002972,0.0002972,0.0002972
